City,MonitorID,HouseID,Lon,Lat,Hour,Temp,RH,BP,PM2.5_adj,PM10_adj,NO2_adj,SO2_adj,CO_adj,O3_adj,Time_Texas,Date
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 06:00:00,15.35,77.5,30.1825,18.550275,37.03622,34.254225,,0.276193625,,2024-11-27 00:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 07:00:00,15.05,77.0,30.1675,18.500125,36.95081,32.457725,,0.26234515,,2024-11-27 01:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 08:00:00,14.65,78.0,30.1525,34.42045,74.482055,28.450475,,0.297953775,,2024-11-27 02:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 09:00:00,14.625,80.0,30.1425,17.697225,35.0108875,27.8267375,,0.26868865,,2024-11-27 03:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 10:00:00,15.325,81.5,30.12,25.992125,50.9961025,30.6608875,,0.283595425,,2024-11-27 04:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 11:00:00,15.775,82.25,30.105,25.324,49.7480675,28.7337625,,0.272345,,2024-11-27 05:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 12:00:00,16.325,82.0,30.1025,20.58055,41.7870525,29.3842375,,0.279724875,,2024-11-27 06:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 13:00:00,17.025,82.75,30.1075,29.616475,57.8618175,32.5924875,,0.33468455,,2024-11-27 07:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 14:00:00,18.4,83.5,30.11,38.76175,74.26308,34.4572,,0.353155075,,2024-11-27 08:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 15:00:00,20.825,86.75,30.105,26.15605,51.6534525,35.8881875,,0.33043665,,2024-11-27 09:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 16:00:00,23.7,81.0,30.0925,15.8254,33.08839,24.6026,,0.288599175,,2024-11-27 10:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 17:00:00,25.825,70.5,30.0625,16.1371,35.3699525,18.1514375,,0.24437605,,2024-11-27 11:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 18:00:00,26.225,69.0,30.02,15.4539,34.3663825,20.5593375,,0.229545025,3.24496,2024-11-27 12:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 19:00:00,26.925,67.5,29.99,14.8193,33.5079225,20.0831375,,0.2243944,4.33613,2024-11-27 13:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 20:00:00,27.025,68.25,29.9725,15.2095,34.1548175,21.0483375,,0.223685575,3.501415,2024-11-27 14:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 21:00:00,26.775,67.0,29.9675,12.935075,30.0546925,19.6177125,,,3.92964,2024-11-27 15:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 22:00:00,25.975,69.5,29.9625,11.6982,27.3050075,22.3230625,,,2.00617666666666,2024-11-27 16:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-27 23:00:00,25.2,73.0,29.9625,11.5835,26.51224,24.15575,2.89371,0.271962325,,2024-11-27 17:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-28 00:00:00,25.075,74.25,29.97,10.4521,24.2383025,23.4295625,,0.220935875,,2024-11-27 18:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-28 01:00:00,24.725,77.5,29.98,10.0338,22.9928825,24.5775375,,0.233909925,,2024-11-27 19:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-28 02:00:00,25.05,78.25,30.005,9.345425,21.684385,22.917475,,0.25912305,,2024-11-27 20:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-28 03:00:00,26.6,73.0,30.025,8.8369,21.68482,19.48845,,0.2280821,,2024-11-27 21:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-28 04:00:00,26.675,72.0,30.035,8.84595,21.8404975,19.9749125,,0.2215313,,2024-11-27 22:00:00,2024-11-27
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-11-28 05:00:00,24.35,79.25,30.0375,8.491775,21.226395,25.368575,,0.2232901,,2024-11-27 23:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 06:00:00,13.25,87.25,30.1625,14.895225,28.663625,17.657875,,0.262953575,,2024-11-27 00:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 07:00:00,12.85,88.0,30.1525,14.0894,27.004445,16.733325,,0.263249,,2024-11-27 01:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 08:00:00,12.65,89.25,30.1325,13.6892,26.07038,18.114725,,0.262169325,,2024-11-27 02:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 09:00:00,13.6,88.0,30.1275,13.095875,25.302995,17.7192,,0.268217075,,2024-11-27 03:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 10:00:00,14.85,86.75,30.1025,15.52455,30.18532,18.260325,,0.2784229,,2024-11-27 04:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 11:00:00,15.625,85.5,30.09,18.9913,36.9021125,20.7283375,,0.293740375,,2024-11-27 05:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 12:00:00,16.075,85.75,30.0875,19.808325,38.4660775,20.6528625,,0.290128225,,2024-11-27 06:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 13:00:00,16.925,85.25,30.0975,22.917875,44.4415225,21.1321875,,0.330843575,,2024-11-27 07:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 14:00:00,19.6,84.75,30.0975,31.526525,60.93277,24.88555,,0.334092975,8.31978499999999,2024-11-27 08:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 15:00:00,21.975,83.5,30.09,24.102225,47.7812325,17.9698625,,0.28043675,14.81271,2024-11-27 09:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 16:00:00,25.3,74.5,30.0825,14.206075,31.198035,9.71035,,0.23792895,27.92783,2024-11-27 10:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 17:00:00,27.15,65.25,30.055,12.9904,30.44503,3.050675,,,38.375915,2024-11-27 11:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 18:00:00,27.075,65.5,30.005,13.3507,31.0669775,6.7590625,,,41.55837,2024-11-27 12:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 19:00:00,27.5,64.5,29.98,12.301425,29.327725,5.95545,,,37.42125,2024-11-27 13:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 20:00:00,27.125,65.75,29.96,11.5012,27.6209375,7.8586375,,,37.978025,2024-11-27 14:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 21:00:00,26.75,66.25,29.9575,11.813675,28.067925,8.040675,,,36.853875,2024-11-27 15:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 22:00:00,25.625,70.75,29.9525,10.53035,24.9222375,11.5273875,,0.214140425,32.262625,2024-11-27 16:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-27 23:00:00,24.55,76.5,29.95,10.00235,23.027635,13.889375,,0.2315428,27.15593,2024-11-27 17:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-28 00:00:00,24.125,79.25,29.96,9.942025,22.4937125,13.2038375,,0.241229375,25.625375,2024-11-27 18:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-28 01:00:00,23.85,82.5,29.97,9.535875,21.972645,12.860475,,0.245578875,23.97181,2024-11-27 19:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-28 02:00:00,23.45,86.0,29.99,9.8536,21.361265,12.659475,,0.251247875,21.64002,2024-11-27 20:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-28 03:00:00,23.05,88.5,30.0075,8.30985,20.869285,12.587525,,0.247184275,17.83183,2024-11-27 21:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-28 04:00:00,22.675,89.5,30.015,8.2522,20.5684975,12.3969125,,0.249894375,14.35713,2024-11-27 22:00:00,2024-11-27
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-11-28 05:00:00,22.375,90.0,30.0175,8.20515,20.3636875,11.9503625,,0.253839825,13.1995,2024-11-27 23:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 06:00:00,13.875,83.75,30.1225,13.12725,25.9434625,20.2868625,,0.2969806,,2024-11-27 00:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 07:00:00,13.45,84.5,30.11,15.290775,30.464865,23.556925,,0.306752275,,2024-11-27 01:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 08:00:00,12.95,86.25,30.09,14.47185,27.94984,24.245275,,0.30174715,,2024-11-27 02:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 09:00:00,13.625,86.5,30.0825,13.838625,26.8703375,23.2700375,,0.321581425,,2024-11-27 03:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 10:00:00,14.55,86.0,30.06,13.986925,27.37746,23.244025,,0.307272,,2024-11-27 04:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 11:00:00,15.175,85.75,30.0475,14.83075,29.0857725,24.2519125,,0.310343625,5.947005,2024-11-27 05:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 12:00:00,15.625,86.0,30.045,17.50615,34.0901125,27.0111875,,0.316379675,5.24743333333333,2024-11-27 06:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 13:00:00,16.575,85.25,30.0525,23.604525,45.6483775,29.2010125,,0.341258225,5.378095,2024-11-27 07:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 14:00:00,19.05,83.0,30.05,28.086925,55.371085,31.148675,,0.389321075,8.05548,2024-11-27 08:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 15:00:00,21.625,83.5,30.05,19.21375,38.6669625,29.3664375,,0.35166045,9.85045,2024-11-27 09:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 16:00:00,24.825,76.75,30.0375,12.6494,27.9473275,19.3889375,,0.300548425,18.356645,2024-11-27 10:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 17:00:00,26.65,67.5,30.005,11.80135,27.870305,13.965875,,0.24738515,25.10939,2024-11-27 11:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 18:00:00,26.85,66.5,29.96,11.83065,28.086445,17.143275,,0.230585975,24.42621,2024-11-27 12:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 19:00:00,27.35,65.5,29.9325,11.1652,27.071545,16.943575,,0.2308303,25.72711,2024-11-27 13:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 20:00:00,27.05,65.5,29.9175,10.744925,26.23836,17.609175,,0.2186109,26.03753,2024-11-27 14:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 21:00:00,26.35,67.75,29.91,11.010175,26.319195,19.313525,,0.221539725,25.391785,2024-11-27 15:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 22:00:00,25.225,71.5,29.9075,10.0962,23.9511325,21.4488375,,0.219133,23.53211,2024-11-27 16:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-27 23:00:00,24.175,76.5,29.9025,9.569925,22.1581725,23.0715625,,0.2473713,19.38083,2024-11-27 17:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-28 00:00:00,23.675,79.25,29.91,8.382425,19.5237475,21.7821125,,0.255653375,20.707755,2024-11-27 18:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-28 01:00:00,23.5,82.0,29.925,8.3626,19.11075,21.6717,,0.256459125,20.1246,2024-11-27 19:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-28 02:00:00,23.25,84.5,29.9475,8.32985,18.691325,21.575075,,0.264471875,17.83795,2024-11-27 20:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-28 03:00:00,22.9333333333333,86.3333333333333,29.9633333333333,7.78866666666667,18.3192533333333,16.0292,,0.2915836,15.4792933333333,2024-11-27 21:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-28 04:00:00,22.75,86.75,29.9725,8.255825,19.556975,20.411775,,0.2606515,15.337925,2024-11-27 22:00:00,2024-11-27
Beaumont,8145002444032,H32,-94.134255,30.117755,2024-11-28 05:00:00,22.425,87.25,29.975,8.204725,17.9639225,21.5715875,,0.26480585,12.426455,2024-11-27 23:00:00,2024-11-27
