City,MonitorID,HouseID,Lon,Lat,Hour,Temp,RH,BP,PM2.5_adj,PM10_adj,NO2_adj,SO2_adj,CO_adj,O3_adj,Time_Texas,Date
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 06:00:00,18.275,86.75,30.215,10.1326,20.8327925,26.4476625,,0.232094075,,2024-12-25 00:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 07:00:00,17.475,88.0,30.2175,8.1485,16.8562075,22.8745125,,0.2294266,3.96206,2024-12-25 01:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 08:00:00,16.5666666666667,84.0,30.21,4.76776666666667,10.93113,21.1983833333333,,0.217975066666667,10.9346066666667,2024-12-25 02:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 09:00:00,15.825,86.5,30.2275,4.1598,9.3564525,25.8661375,,,15.80977,2024-12-25 03:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 10:00:00,15.55,87.5,30.2425,4.11835,8.41596,25.905575,,,17.40893,2024-12-25 04:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 11:00:00,15.275,89.75,30.225,4.080775,8.0142925,24.4587625,,0.222757925,12.866965,2024-12-25 05:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 12:00:00,15.575,88.0,30.215,4.495625,9.7445025,25.0358125,,0.2168662,8.86972,2024-12-25 06:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 13:00:00,15.35,89.0,30.195,4.83395,10.204345,26.299525,,0.2175612,12.21156,2024-12-25 07:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 14:00:00,15.55,89.0,30.2125,4.86635,10.301085,26.143375,,0.224459125,8.59228,2024-12-25 08:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 15:00:00,16.8,87.25,30.21,6.9218,15.24311,28.04315,,0.2471908,3.641455,2024-12-25 09:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 16:00:00,17.65,84.5,30.1925,5.93595,13.230305,28.165775,,0.235730225,4.27629,2024-12-25 10:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 17:00:00,18.775,80.75,30.1675,8.336625,19.0387425,28.8652125,,0.24651565,5.606465,2024-12-25 11:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 18:00:00,19.95,75.0,30.14,5.53575,14.100965,25.624025,,0.263061975,6.43252,2024-12-25 12:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 19:00:00,20.975,71.5,30.1225,4.9476,13.6385075,23.1339625,,0.2160532,11.30931,2024-12-25 13:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 20:00:00,20.875,71.0,30.1075,6.044875,15.7140625,25.3718125,,0.2249714,9.998,2024-12-25 14:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 21:00:00,20.525,70.25,30.115,5.98585,16.3223925,23.8314875,,0.21577245,11.473815,2024-12-25 15:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 22:00:00,20.25,71.0,30.12,6.686975,16.7879,25.104875,,0.218577975,10.277,2024-12-25 16:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-25 23:00:00,19.7,73.5,30.125,8.092325,18.975665,26.90635,,0.242300325,5.30027,2024-12-25 17:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-26 00:00:00,19.325,74.25,30.135,9.5206,22.1451025,25.9776875,,0.25914425,,2024-12-25 18:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-26 01:00:00,19.0,75.25,30.1475,7.98435,18.428125,27.01135,,0.2519153,,2024-12-25 19:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-26 02:00:00,18.525,78.25,30.1475,13.12015,27.4732175,27.8115875,,0.274735775,,2024-12-25 20:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-26 03:00:00,17.875,81.5,30.15,11.9099,24.7065375,29.6251625,,0.27491915,,2024-12-25 21:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-26 04:00:00,18.025,85.0,30.16,10.45835,21.6088925,27.6081875,,0.266407625,,2024-12-25 22:00:00,2024-12-25
Beaumont,8145002441001,H20,-94.145314,30.126498,2024-12-26 05:00:00,18.075,86.75,30.15,13.0736,26.2406525,27.0968125,,0.258012725,,2024-12-25 23:00:00,2024-12-25
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-12-25 06:00:00,16.8,93.25,30.195,7.312075,14.52671,10.50685,,0.252584775,20.795355,2024-12-25 00:00:00,2024-12-25
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-12-25 07:00:00,16.775,93.25,30.1975,8.051375,15.8907675,10.5109625,,0.25361885,22.042015,2024-12-25 01:00:00,2024-12-25
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-12-25 08:00:00,16.5,86.5,30.195,4.640825,10.371025,7.63735,,0.22437125,34.04095,2024-12-25 02:00:00,2024-12-25
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-12-25 09:00:00,15.0,92.0,30.21,4.0432,8.3007,10.3172,,0.22772125,40.801,2024-12-25 03:00:00,2024-12-25
Beaumont,8145002444011,H15,-94.157451,30.100586,2024-12-25 10:00:00,14.3,94.25,30.225,,,8.6938,,0.240679125,41.920255,2024-12-25 04:00:00,2024-12-25
